Tot_Match_Played,Tot_Runs,batsman,run_Over_1,run_Over_10,run_Over_11,run_Over_12,run_Over_13,run_Over_14,run_Over_15,run_Over_16,run_Over_17,run_Over_18,run_Over_19,run_Over_2,run_Over_20,run_Over_3,run_Over_4,run_Over_5,run_Over_6,run_Over_7,run_Over_8,run_Over_9
2.0,0.0,CRD Fernando,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,0.0,VS Yeligati,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.0,29.0,L Balaji,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,9.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,20.0,A Mukund,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,5.0,3.0,4.0,4.0,1.0,0.0
9.0,33.0,RR Powar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,11.0,5.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73.0,1909.0,JP Duminy,7.0,91.0,79.0,150.0,134.0,125.0,165.0,177.0,171.0,248.0,129.0,3.0,0.0,54.0,70.0,51.0,53.0,66.0,54.0,82.0
3.0,63.0,A Flintoff,0.0,2.0,1.0,3.0,3.0,0.0,7.0,3.0,6.0,6.0,2.0,0.0,0.0,0.0,1.0,14.0,6.0,1.0,1.0,7.0
4.0,6.0,T Thushara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29.0,629.0,JD Ryder,86.0,21.0,18.0,5.0,8.0,4.0,6.0,17.0,14.0,2.0,11.0,53.0,0.0,128.0,71.0,67.0,58.0,19.0,17.0,24.0
36.0,1013.0,KP Pietersen,24.0,40.0,54.0,51.0,44.0,39.0,41.0,13.0,22.0,49.0,14.0,41.0,0.0,40.0,92.0,100.0,115.0,80.0,95.0,59.0
2.0,12.0,T Henderson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,8.0,1.0
1.0,3.0,Kamran Khan,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22.0,534.0,RS Bopara,27.0,20.0,25.0,25.0,33.0,38.0,26.0,53.0,26.0,48.0,32.0,20.0,0.0,26.0,32.0,27.0,15.0,23.0,15.0,23.0
3.0,19.0,R Bishnoi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,6.0,8.0,0.0,0.0,0.0,0.0,0.0
2.0,1.0,FH Edwards,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.0,539.0,PC Valthaty,36.0,28.0,34.0,4.0,16.0,7.0,2.0,19.0,17.0,2.0,8.0,68.0,0.0,94.0,51.0,53.0,33.0,19.0,25.0,23.0
7.0,114.0,RJ Quiney,21.0,2.0,5.0,1.0,7.0,11.0,0.0,1.0,0.0,0.0,0.0,9.0,0.0,18.0,7.0,9.0,11.0,3.0,2.0,7.0
16.0,165.0,AS Raut,0.0,3.0,6.0,4.0,2.0,11.0,36.0,13.0,30.0,20.0,28.0,0.0,0.0,0.0,0.0,0.0,7.0,3.0,2.0,0.0
4.0,49.0,Yashpal Singh,0.0,0.0,2.0,3.0,1.0,2.0,3.0,6.0,2.0,5.0,4.0,1.0,0.0,5.0,2.0,2.0,9.0,1.0,1.0,0.0
38.0,482.0,M Manhas,2.0,11.0,34.0,23.0,39.0,37.0,42.0,41.0,43.0,67.0,40.0,4.0,0.0,6.0,9.0,6.0,22.0,16.0,20.0,20.0
7.0,64.0,AA Bilakhia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,7.0,12.0,12.0,0.0,4.0,1.0,6.0,2.0,4.0,8.0,2.0
2.0,7.0,AN Ghosh,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0
3.0,2.0,BAW Mendis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,112.0,DL Vettori,0.0,10.0,12.0,7.0,5.0,6.0,5.0,19.0,14.0,9.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0
5.0,166.0,MN van Wyk,1.0,9.0,6.0,21.0,19.0,8.0,4.0,12.0,15.0,16.0,17.0,6.0,0.0,8.0,9.0,5.0,1.0,4.0,1.0,4.0
15.0,165.0,RE van der Merwe,1.0,2.0,6.0,5.0,8.0,20.0,10.0,6.0,18.0,23.0,2.0,2.0,0.0,7.0,11.0,13.0,2.0,4.0,21.0,4.0
39.0,671.0,TL Suman,12.0,36.0,32.0,54.0,57.0,46.0,55.0,49.0,37.0,22.0,12.0,24.0,0.0,41.0,34.0,50.0,31.0,20.0,19.0,40.0
3.0,1.0,Shoaib Ahmed,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,15.0,GR Napier,0.0,0.0,0.0,1.0,2.0,5.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,0.0,KP Appanna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
